iter	TotalF1	MultiClass
0	0.4717192374	1.75638064
1	0.4870285488	1.72168255
2	0.4575204716	1.691117344
3	0.4399950613	1.662570948
4	0.4820751823	1.634756199
5	0.4719020544	1.611825351
6	0.5155582727	1.586538353
7	0.5249137504	1.566912198
8	0.5324751775	1.544685808
9	0.5396921054	1.523076106
10	0.539609254	1.508117082
11	0.5465130274	1.487437716
12	0.550867502	1.466553149
13	0.5425281986	1.446878467
14	0.5559062704	1.42511769
15	0.5562340921	1.408057909
16	0.5805168064	1.38882222
17	0.5741405962	1.375189286
18	0.5805558376	1.361375088
19	0.584738183	1.344657386
20	0.5910350959	1.331248888
21	0.5942848182	1.318226568
22	0.586028612	1.307778331
23	0.5916721423	1.296556551
24	0.6017284261	1.28364767
25	0.610980613	1.271997604
26	0.6222456692	1.261216812
27	0.6287497287	1.250747518
28	0.6332003108	1.242085961
29	0.6277909319	1.231550414
30	0.6222276518	1.223466993
31	0.6200306558	1.212702788
32	0.6291703851	1.205009323
33	0.6343629484	1.199533871
34	0.6379118433	1.190805342
35	0.6254021269	1.182390492
36	0.6257089579	1.174129268
37	0.6263645257	1.165992704
38	0.6333814245	1.158193442
39	0.6328368581	1.151019344
40	0.6328368581	1.144980788
41	0.6325102699	1.139417852
42	0.6325102699	1.133303698
43	0.6324769209	1.126988109
44	0.6327801344	1.12322012
45	0.6325102699	1.119878834
46	0.6249257014	1.112104486
47	0.631371694	1.105321774
48	0.6345360779	1.098446089
49	0.6376714241	1.093047594
50	0.6401995992	1.085506622
51	0.6415050774	1.078200261
52	0.6415195419	1.072793055
53	0.6418755173	1.067555328
54	0.6409376738	1.062433231
55	0.6424499099	1.057450742
56	0.6468924873	1.051663028
57	0.6484892437	1.046965505
58	0.6524596513	1.041110462
59	0.6548102882	1.035936194
60	0.6579614148	1.029751267
61	0.6556925326	1.026016973
62	0.6577291578	1.021810483
63	0.6548258428	1.01834877
64	0.6608254351	1.015086925
65	0.6610491912	1.010282054
66	0.6663817925	1.005677171
67	0.661395014	1.001589452
68	0.6683844728	0.9965918497
69	0.6687813999	0.9935532624
70	0.6689972079	0.9906772461
71	0.6705457517	0.986412721
72	0.6687813999	0.9831312374
73	0.6790976467	0.9789647121
74	0.677995972	0.9746239771
75	0.6716464126	0.9707547385
76	0.6814227126	0.9666144466
77	0.6831994092	0.9633951736
78	0.6943642465	0.9572404687
79	0.7006320933	0.9533742624
80	0.7006091776	0.9499804608
81	0.7010593584	0.947130263
82	0.707811318	0.9431643511
83	0.7038738981	0.9393539879
84	0.7038743646	0.9374359845
85	0.7038738981	0.9349030057
86	0.7022316812	0.9318671312
87	0.7036283484	0.9282188094
88	0.709633614	0.9231306849
89	0.7130621072	0.9197727351
90	0.717077287	0.9164865076
91	0.7151304838	0.9144948467
92	0.7224309686	0.9109415227
93	0.7207837089	0.9076630732
94	0.7259359474	0.9044354777
95	0.7303188256	0.901131839
96	0.7304334383	0.898368226
97	0.7267351695	0.8962902032
98	0.734134037	0.893084399
99	0.7344876181	0.8906169991
100	0.7382553069	0.8876472966
101	0.7403077827	0.8849301563
102	0.742096179	0.8820540804
103	0.7404546565	0.8788273993
104	0.7440896534	0.8769668872
105	0.7421429101	0.8751398431
