iter	Passed	Remaining
0	541	1082726
1	594	593975
2	654	435830
3	660	329654
4	669	266932
5	813	270259
6	953	271334
7	974	242765
8	987	218541
9	999	198824
10	1075	194549
11	1095	181429
12	1110	169750
13	1127	159936
14	1139	150740
15	1174	145620
16	1197	139717
17	1214	133701
18	1238	129099
19	1259	124704
20	1274	120072
21	1305	117389
22	1345	115617
23	1364	112370
24	1680	132726
25	1811	137515
26	1941	141853
27	1999	140807
28	2101	142836
29	2199	144410
30	2253	143121
31	2270	139643
32	2309	137660
33	2503	144783
34	2578	144762
35	2694	147004
36	2703	143428
37	2770	143052
38	2860	143830
39	2872	140748
40	2924	139755
41	3081	143636
42	3128	142371
43	3263	145094
44	3309	143783
45	3355	142519
46	3394	141035
47	3630	147626
48	3787	150785
49	3999	155998
50	4014	153416
51	4030	150973
52	4076	149770
53	4147	149451
54	4160	147128
55	4183	145213
56	4210	143529
57	4221	141360
58	4231	139207
59	4255	137589
60	4268	135689
61	4281	133827
62	4638	142604
63	4770	144313
64	4999	148826
65	5024	147247
66	5071	146316
67	5130	145776
68	5145	143997
69	5170	142563
70	5189	140984
71	5444	145804
72	5571	147079
73	5635	146666
74	5662	145325
75	5678	143757
76	5697	142300
77	5709	140698
78	5727	139276
79	5734	137616
80	5739	135982
81	5744	134374
82	5751	132836
83	5756	131304
84	5764	129867
85	5772	128482
86	5785	127215
87	5795	125917
88	5804	124643
89	5818	123485
90	5823	122160
91	5831	120934
92	5835	119660
93	5839	118412
94	5853	117380
95	5886	116754
96	5896	115676
97	5906	114636
98	5910	113499
99	5919	112465
100	5933	111554
101	5951	110753
102	5961	109803
103	5974	108916
104	5992	108150
105	5998	107178
106	6003	106204
107	6008	105257
108	6013	104325
109	6047	103908
110	6065	103218
111	6183	104241
112	6347	105993
113	6440	106557
114	6458	105859
115	6571	106732
116	6706	107940
117	6790	108305
118	6998	110623
119	7092	111118
120	7143	110929
121	7181	110552
122	7209	110020
123	7223	109284
124	7495	112434
125	7586	112836
126	7591	111956
127	7597	111110
128	7601	110256
129	7637	109856
130	7643	109051
131	7659	108392
132	7667	107638
133	7681	106974
134	7688	106213
135	7704	105599
136	7717	104947
137	7740	104436
138	7810	104564
139	7867	104531
140	8052	106166
141	8115	106185
142	8187	106323
143	8224	106002
144	8237	105379
145	8247	104729
146	8254	104056
147	8273	103529
148	8287	102954
149	8340	102871
150	8602	105343
151	8675	105481
152	8686	104861
153	8696	104248
154	8751	104173
155	8806	104102
156	8877	104216
157	8885	103594
158	8944	103568
159	9102	104678
160	9112	104080
161	9220	104613
162	9231	104040
163	9239	103439
164	9255	102935
165	9267	102391
166	9281	101877
167	9303	101454
168	9426	102134
169	9450	101735
170	9467	101268
171	9520	101183
172	9630	101700
173	9711	101912
174	9819	102408
175	9910	102703
176	9917	102139
177	9946	101808
178	9964	101372
179	9992	101040
180	10009	100592
181	10026	100155
182	10036	99652
183	10053	99220
184	10066	98761
185	10080	98310
186	10175	98651
187	10291	99189
188	10301	98708
189	10411	99180
190	10448	98963
191	10538	99237
192	10573	98994
193	10594	98630
194	10616	98270
195	10640	97932
196	10652	97493
197	10661	97032
198	10683	96684
199	10702	96323
200	10727	96018
201	10872	96776
202	10879	96304
203	10905	96007
204	10924	95652
205	10936	95246
206	10943	94787
207	10951	94348
208	10960	93920
209	10972	93527
210	10985	93141
211	11010	92863
212	11020	92455
213	11036	92105
214	11048	91731
215	11055	91314
216	11084	91073
217	11103	90762
218	11218	91230
219	11229	90859
220	11251	90570
221	11261	90197
222	11274	89840
223	11283	89464
224	11294	89103
225	11311	88786
226	11315	88377
227	11320	87978
228	11332	87644
229	11367	87482
230	11378	87134
231	11388	86784
232	11430	86685
233	11759	88749
234	11766	88376
235	11790	88127
236	11799	87775
237	11811	87445
238	11820	87097
239	11832	86774
240	11844	86448
241	11938	86724
242	11966	86522
243	11987	86267
244	11996	85931
245	12011	85639
246	12029	85372
247	12042	85073
248	12051	84747
249	12131	84922
250	12147	84642
251	12157	84329
252	12248	84574
253	12307	84599
254	12383	84739
255	12395	84442
256	12406	84144
257	12449	84057
258	12457	83738
259	12510	83726
260	12559	83682
261	12576	83427
262	12597	83200
263	12629	83050
264	13038	85366
265	13055	85103
266	13121	85168
267	13143	84942
268	13177	84797
269	13184	84479
270	13189	84150
271	13210	83926
272	13231	83699
273	13287	83698
274	13339	83677
275	13349	83386
276	13360	83102
277	13367	82803
278	13380	82534
279	13437	82544
280	13460	82345
281	13477	82106
282	13486	81826
283	13500	81570
284	13517	81339
285	13522	81041
286	13529	80752
287	13566	80647
288	13605	80549
289	13842	81624
290	13913	81711
291	13923	81441
292	13939	81209
293	13950	80951
294	13981	80809
295	13993	80559
296	14046	80542
297	14065	80331
298	14089	80154
299	14102	79914
300	14144	79837
301	14155	79587
302	14162	79319
303	14172	79069
304	14252	79207
305	14324	79302
306	14445	79664
307	14546	79912
308	14782	80894
309	14839	80897
310	14852	80661
311	14864	80421
312	14877	80186
313	15009	80592
314	15034	80420
315	15112	80538
316	15169	80539
317	15179	80291
318	15195	80075
319	15225	79931
320	15234	79685
321	15241	79425
322	15254	79202
323	15266	78972
324	15284	78775
325	15304	78589
326	15329	78431
327	15408	78546
328	15492	78686
329	15632	79109
330	15653	78930
331	15737	79065
332	15787	79030
333	15805	78838
334	15816	78610
335	15828	78389
336	15875	78341
337	15906	78215
338	15925	78032
339	16116	78688
340	16142	78533
341	16220	78637
342	16235	78429
343	16246	78209
344	16259	77998
345	16274	77799
346	16290	77600
347	16303	77394
348	16314	77180
349	16370	77175
350	16382	76963
351	16389	76731
352	16396	76503
353	16431	76403
354	16451	76231
355	16464	76031
356	16535	76102
357	16579	76045
358	16827	76920
359	16833	76686
360	16841	76462
361	16849	76240
362	16854	76009
363	16880	75868
364	16902	75715
365	16934	75603
366	16946	75403
367	16959	75210
368	16968	75003
369	16986	74831
370	16999	74640
371	17010	74444
372	17024	74260
373	17089	74296
374	17186	74476
375	17322	74819
376	17332	74617
377	17381	74582
378	17392	74386
379	17400	74179
380	17409	73979
381	17418	73776
382	17424	73566
383	17429	73350
384	17440	73159
385	17453	72978
386	17468	72808
387	17485	72646
388	17493	72448
389	17543	72423
390	17856	73483
391	17924	73526
392	17940	73360
393	18160	74023
394	18183	73886
395	18190	73679
396	18200	73489
397	18216	73323
398	18283	73363
399	18339	73357
400	18354	73188
401	18365	73003
402	18464	73169
403	18483	73018
404	18532	72985
405	18545	72812
406	18551	72612
407	18571	72464
408	18727	72850
409	18850	73104
410	18857	72907
411	18865	72714
412	18880	72549
413	18886	72351
414	18902	72193
415	18911	72010
416	18920	71826
417	18935	71664
418	18947	71493
419	18963	71337
420	18972	71156
421	18989	71006
422	19011	70878
423	19020	70698
424	19060	70634
425	19069	70457
426	19079	70287
427	19094	70130
428	19109	69978
429	19119	69809
430	19266	70137
431	19311	70093
432	19321	69923
433	19328	69743
434	19340	69580
435	19376	69506
436	19383	69327
437	19392	69159
438	19408	69012
439	19451	68965
440	19521	69012
441	19538	68869
442	19553	68722
443	19566	68569
444	19575	68404
445	19588	68251
446	19600	68097
447	19611	67939
448	19624	67788
449	19719	67921
450	19979	68620
451	20014	68546
452	20047	68463
453	20056	68298
454	20066	68139
455	20093	68034
456	20104	67878
457	20116	67726
458	20123	67561
459	20130	67393
460	20136	67225
461	20149	67076
462	20154	66905
463	20162	66744
464	20173	66594
465	20182	66436
466	20195	66295
467	20214	66172
468	20229	66038
469	20234	65870
470	20252	65745
471	20265	65605
472	20282	65479
473	20302	65362
474	20315	65224
475	20346	65144
476	20366	65028
477	20380	64894
478	20394	64760
479	20461	64795
480	20498	64734
481	20556	64740
482	20697	65005
483	20705	64855
484	20792	64949
485	20805	64813
486	20836	64735
487	20849	64599
488	20874	64500
489	20897	64396
490	20914	64276
491	20936	64171
492	21005	64209
493	21031	64116
494	21171	64370
495	21293	64568
496	21516	65069
497	21552	65003
498	21567	64874
499	21705	65115
500	21756	65095
501	21791	65026
502	21850	65029
503	22070	65509
504	22106	65444
505	22125	65326
506	22148	65222
507	22201	65206
508	22213	65068
509	22236	64964
510	22257	64854
511	22273	64733
512	22280	64583
513	22326	64548
514	22332	64395
515	22339	64249
516	22346	64101
517	22352	63951
518	22362	63813
519	22378	63691
520	22389	63557
521	22404	63435
522	22416	63305
523	22445	63224
524	22451	63077
525	22559	63217
526	22568	63080
527	22718	63337
528	22802	63406
529	22837	63341
530	22850	63214
531	22861	63083
532	22872	62951
533	22884	62824
534	22896	62697
535	22919	62600
536	22929	62469
537	22940	62338
538	22953	62216
539	22966	62094
540	22990	62003
541	23003	61879
542	23016	61757
543	23033	61647
544	23045	61525
545	23058	61405
546	23100	61361
547	23114	61244
548	23125	61119
549	23132	60986
550	23146	60869
551	23157	60745
552	23163	60610
553	23173	60486
554	23183	60361
555	23222	60310
556	23393	60605
557	23398	60467
558	23426	60390
559	23460	60326
560	23476	60217
